Product,UserName,SkinCond_Age,Recommend,PostDate,Review,Rating
Aqua Beauty Protecting Mist,latifahkusuma7,"Dry, 19 - 24",latifahkusuma7 recommends this product!,07 Sep 2020,"Dengan harga sekian, kualitas oke. Bisa dipake buat melembabkan kulit atau make up lock. Aku pake ini make up jadi awet meski udah wudhu . Sayangnya kalau pake kebanyakan bikin kulit wajah aku lengket Harumnya menyegarkan",4
Aqua Beauty Protecting Mist,seaaasalt,"Combination, 19 - 24",seaaasalt recommends this product!,27 Aug 2020,"beli ini karena murahh awalnya, tapi pas dipake langsung fallin' in lovee😍 buat daily emang paling cuma pake loose powder aja tp tetep aku set pake pixy ini ala-ala setting spray dan bikin muka kayak mulus tanpa poridan shining bgt, bisa ngebantu nahan minyak jugaaa",5
Aqua Beauty Protecting Mist,Ririnrin2627,"Oily, 19 - 24",Ririnrin2627 recommends this product!,01 Sep 2020,"Waktu di aplikasikan di mukaku tuh seger banget, dan wanginya juga gak terlalu strong jadi masih nyaman buat hidungku😂, nah kalau untuk lock make up kayaknya kurang cocok di aku, karena tetep luntur make up nya😢 tapi kalo untuk segerin itu ajib benerr",4
Aqua Beauty Protecting Mist,himawari123,"Dry, 19 - 24",himawari123 recommends this product!,19 Aug 2020,"Harganya murah, botolnya lucu tapi baunya agak nyengat ya mungkin ada alkoholnya, dimuka ku dia agak panas sih tapi dia bener bener bisa bikin makeup ku lebih tahan lama dan lebih matte, aku suka banget, kapan lagi dapet facemist murah brand lokal pula",5
Aqua Beauty Protecting Mist,Erikameidini,"Dry, 19 - 24",Erikameidini doesn't recommend this product!,21 hours ago,"Jujur sampe sekarang aku masih berusaha cari tau ini bagusnya apa di kulit aku and still have no idea. Sometimes I only use it pre or post make up, and sometimes both, but... there's no major change, probably just a very litte hydration. It's not like I have a high expe ... Read more",3
Aqua Beauty Protecting Mist,risnidw,"Oily, 19 - 24",risnidw recommends this product!,25 Aug 2020,Face mist yang murce dan bagusss. Tapi dipakenya pas sebelum make up abis pelembab. Soalnya kalo dipake sesudah make up malah jadi kaya kucel *apa perasaan doang?* wkwkw. Kalo buat ketahanan lumayan sih,5
Aqua Beauty Protecting Mist,chintyachristina,"Oily, 25 - 29",chintyachristina doesn't recommend this product!,a day ago,"Face mist ini saya pakai di malam hari setelah hydrating toner. Hasilnya bikin wajahku glowing dan lembab. Untuk wanginya, aku kurang suka. Setelah beberapa hari pemakaian, malah bikin wajahku nambah jerawat. belum pernah coba dipakai setelah make up sih.",2
Aqua Beauty Protecting Mist,raraazhara,"Combination, 18 and Under",raraazhara recommends this product!,41 minutes ago,"ini face mist pertama aku dan sampe sekarang masih pake ini, cinta banget sama face mist ini karena dia bener"" nge set makeup aku jadi tahan lama karena sebelum aku pake face mist ini setiap makeupan pasti ngecrack dong, aku juga sering pake sebelum makeup dan dia rasan ... Read more",5
Aqua Beauty Protecting Mist,salsabillafahira,"Dry, 19 - 24",salsabillafahira recommends this product!,02 Sep 2020,"Aku suka banget!! emang kayanya untuk soal make up, kulitku ga rewel pake produk pixy apapun. Ini teksturnya cair (yaiyalah kan spray) trus hasilnya jadi basah2 gitu dimuka. Jadi dapet banget hasil dewy finishnya! apalagi ditambah cushionnya~ gatau ink sugesti aku aja a ... Read more",5
Aqua Beauty Protecting Mist,novydam,"Combination, 19 - 24",novydam recommends this product!,30 Aug 2020,dari packaging ini simple banget dan ringan. harganya ramah banget dan kualitasnya juga bagus. teksturnya cair dan mudah meresap dikulit. aku biasanya pakai ini sebelum makeup dan sesudah makeup. efeknya ini seger banget dikulit. cocok di kulit aku yang kombinasi dan ag ... Read more,4
Lightening Night Cream,ayu_embem,"Combination, 30 - 34",ayu_embem recommends this product!,19 Aug 2020,Night cream wardah ini setelah pemakaian kira2 2 minggu works di aku adalah melembapkan dan tekstur kulit jadi lebih halus. Klaimnya mencerahkan karena ada kandungan Advanced Niacinamide dan Licorice extract plus extra perlindungan dari blue light. Tapi after 2 minggu e ... Read more,4
Lightening Night Cream,ayu_embem,"Combination, 30 - 34",ayu_embem recommends this product!,19 Aug 2020,Night cream wardah ini setelah pemakaian kira2 2 minggu works di aku adalah melembapkan dan tekstur kulit jadi lebih halus. Klaimnya mencerahkan karena ada kandungan Advanced Niacinamide dan Licorice extract plus extra perlindungan dari blue light. Tapi after 2 minggu e ... Read more,4
Lightening Night Cream,Seftiana16,"Oily, 19 - 24",Seftiana16 recommends this product!,18 Aug 2020,"Pelembab malam dengan tekstur thick yang super ringan dapat menutrisi kulit, melembabkan dan mencerahkan kulit., ada kandungan niacinamide yang bagus banget buat mencerahkan. dapet melindungin kulit dari pacaran sinar Blue Light..",4
Lightening Night Cream,Seftiana16,"Oily, 19 - 24",Seftiana16 recommends this product!,18 Aug 2020,"Pelembab malam dengan tekstur thick yang super ringan dapat menutrisi kulit, melembabkan dan mencerahkan kulit., ada kandungan niacinamide yang bagus banget buat mencerahkan. dapet melindungin kulit dari pacaran sinar Blue Light..",4
Lightening Night Cream,Ervinasherly,"Combination, 19 - 24",Ervinasherly recommends this product!,21 Jul 2020,"Teksturenya yg dulu sama sekarang kayaknya udah beda ya? Aku makai produk ini jaman masih sekolah, karena waktu itu aku lepas krim dokter dan langsung break out. Ada jerawat dimana2, wajah aku jadi super kusem banget. Apalagi aku anaknya aktif kegiatan di sekolah. Tapi ... Read more",5
Lightening Night Cream,Ervinasherly,"Combination, 19 - 24",Ervinasherly recommends this product!,21 Jul 2020,"Teksturenya yg dulu sama sekarang kayaknya udah beda ya? Aku makai produk ini jaman masih sekolah, karena waktu itu aku lepas krim dokter dan langsung break out. Ada jerawat dimana2, wajah aku jadi super kusem banget. Apalagi aku anaknya aktif kegiatan di sekolah. Tapi ... Read more",5
Lightening Night Cream,Kartamelia21,"Combination, 19 - 24",Kartamelia21 recommends this product!,03 Sep 2020,"kemasannya simple banget, terbuat dari plastik berbentuk jar lalu didalamnya masih ada sekat pembatasnya membuat produk lebih higienis dan tidak berantakan. berbeda dari daycream, night cream ini terasa lebih lengket saat dipakai yang mungkin dimaksudkan agar wajah teta ... Read more",5
Lightening Night Cream,Kartamelia21,"Combination, 19 - 24",Kartamelia21 recommends this product!,03 Sep 2020,"kemasannya simple banget, terbuat dari plastik berbentuk jar lalu didalamnya masih ada sekat pembatasnya membuat produk lebih higienis dan tidak berantakan. berbeda dari daycream, night cream ini terasa lebih lengket saat dipakai yang mungkin dimaksudkan agar wajah teta ... Read more",5
Lightening Night Cream,Tarisacantik,"Combination, 19 - 24",Tarisacantik recommends this product!,21 Aug 2020,sejauh ini aku pake night creamnya sih g ada masalah apa2 ya kl buat mencerahkan blm terlihat sih tp kl malem pake ini paginya kaya enakan aja gtu ga bikin jerawatan atau apapun tp blm tau aja ngaruhnya apa sm mukaku,4
Lightening Night Cream,Tarisacantik,"Combination, 19 - 24",Tarisacantik recommends this product!,21 Aug 2020,sejauh ini aku pake night creamnya sih g ada masalah apa2 ya kl buat mencerahkan blm terlihat sih tp kl malem pake ini paginya kaya enakan aja gtu ga bikin jerawatan atau apapun tp blm tau aja ngaruhnya apa sm mukaku,4
Lightening Night Cream,ccn3003,"Dry, 25 - 29",ccn3003 recommends this product!,19 Aug 2020,"I LOVE THIS PRODUCT SO MUCH!!! Dari rangkaian Lightening series yang dikirim FDxWARDAH ini terbaik sih! ❤️ memang selama ini aku suka skip night cream karena selalu aku ganti dengan sleeping mask, lalu setelah night cream ini datang langsung aku masukkan ke daftar 7 ste ... Read more",5
Lightening Night Cream,ccn3003,"Dry, 25 - 29",ccn3003 recommends this product!,19 Aug 2020,"I LOVE THIS PRODUCT SO MUCH!!! Dari rangkaian Lightening series yang dikirim FDxWARDAH ini terbaik sih! ❤️ memang selama ini aku suka skip night cream karena selalu aku ganti dengan sleeping mask, lalu setelah night cream ini datang langsung aku masukkan ke daftar 7 ste ... Read more",5
Lightening Night Cream,lilipud,"Oily, 25 - 29",lilipud recommends this product!,13 Aug 2020,Akhirnya setelah kurang lebih 10 hari pemakaian aku bisa ngasih review tentang night cream ini. Di aku so far gak memberikan efek buruk apapun. Walaupun aku kurang suka dengan moisturizer yang berbentuk cream dibanding gel. Ini mencerahkannya kerasa banget setelah bangu ... Read more,4
Lightening Night Cream,lilipud,"Oily, 25 - 29",lilipud recommends this product!,13 Aug 2020,Akhirnya setelah kurang lebih 10 hari pemakaian aku bisa ngasih review tentang night cream ini. Di aku so far gak memberikan efek buruk apapun. Walaupun aku kurang suka dengan moisturizer yang berbentuk cream dibanding gel. Ini mencerahkannya kerasa banget setelah bangu ... Read more,4
Lightening Night Cream,hasnaazzahraa2,"Combination, 18 and Under",hasnaazzahraa2 recommends this product!,20 Aug 2020,"Terima kasih FD udah kasih produk ini ka aku. Here's my review : -Packaging: sama seperti day creamnya. Bentuknya simple, warna biru langit yg bikin gemas. Dia ada pemisah antara cream dan penutupnya.Sayang bgt dia gaada spatulanya. Texture: aga thick tapi pas diaplikas ... Read more",4
Lightening Night Cream,hasnaazzahraa2,"Combination, 18 and Under",hasnaazzahraa2 recommends this product!,20 Aug 2020,"Terima kasih FD udah kasih produk ini ka aku. Here's my review : -Packaging: sama seperti day creamnya. Bentuknya simple, warna biru langit yg bikin gemas. Dia ada pemisah antara cream dan penutupnya.Sayang bgt dia gaada spatulanya. Texture: aga thick tapi pas diaplikas ... Read more",4
Lightening Night Cream,sweetzhaa,"Combination, 25 - 29",sweetzhaa recommends this product!,16 Aug 2020,"Awalnya agak ragu mau cobain creamnya wardah karena dulu pernah cobain seri lain dan ga cocok jadi agak takut. Tapi karena alhamdulillah dapet tugas Try n Review dari FD akhirnya bismillah di cobain. Alhamdulillah banged aku pake semingguan ini cocok2 aja, ga bikin kuli ... Read more",4
Lightening Night Cream,sweetzhaa,"Combination, 25 - 29",sweetzhaa recommends this product!,16 Aug 2020,"Awalnya agak ragu mau cobain creamnya wardah karena dulu pernah cobain seri lain dan ga cocok jadi agak takut. Tapi karena alhamdulillah dapet tugas Try n Review dari FD akhirnya bismillah di cobain. Alhamdulillah banged aku pake semingguan ini cocok2 aja, ga bikin kuli ... Read more",4
Lightening Night Cream,nan_88,25 - 29,nan_88 recommends this product!,an hour ago,"Bagus! Pengaplikasiannya gampang, cepat meresap. Wanginya juga lembut. Ini pembelian saya yang kedua untuk produk ini. Efek di wajah saya juga oke. Berasa jerawat pada kempes setelah pakai night cream ini. Harganya juga murah.",5
Lightening Night Cream,nan_88,25 - 29,nan_88 recommends this product!,an hour ago,"Bagus! Pengaplikasiannya gampang, cepat meresap. Wanginya juga lembut. Ini pembelian saya yang kedua untuk produk ini. Efek di wajah saya juga oke. Berasa jerawat pada kempes setelah pakai night cream ini. Harganya juga murah.",5
Thermal Spring Water,Jesslynjo,"Combination, 19 - 24",Jesslynjo recommends this product!,18 Aug 2020,"Produk ini bener2 penyelamat aku ketika aku lgi sunburn, alergi atau wajah kemerahan dan gatal kumat. Aku udh kenal produk ini dri kecil krna mama aku selalu pke dan dulu sempet sunburn parah semuka dan badan smpe ngelupas perih panas, dipkein produk ini jdi mendingan d ... Read more",5
Thermal Spring Water,Jesslynjo,"Combination, 19 - 24",Jesslynjo recommends this product!,18 Aug 2020,"Produk ini bener2 penyelamat aku ketika aku lgi sunburn, alergi atau wajah kemerahan dan gatal kumat. Aku udh kenal produk ini dri kecil krna mama aku selalu pke dan dulu sempet sunburn parah semuka dan badan smpe ngelupas perih panas, dipkein produk ini jdi mendingan d ... Read more",5
Thermal Spring Water,imusyrifah,"Oily, 25 - 29",imusyrifah recommends this product!,10 May 2020,"Best face mist dari semua face mist yang ada. Kunci punya kulit yang terhidrasi dengan baik, lembut, dan kenyal. Bener-bener definisi ada harga ada kualitas. Bukan kaleng-kaleng lah. Seger banget kalo abis semprot2 muka pake avene tuh. Berhubung harganya sangat mencekik ... Read more",5
Thermal Spring Water,imusyrifah,"Oily, 25 - 29",imusyrifah recommends this product!,10 May 2020,"Best face mist dari semua face mist yang ada. Kunci punya kulit yang terhidrasi dengan baik, lembut, dan kenyal. Bener-bener definisi ada harga ada kualitas. Bukan kaleng-kaleng lah. Seger banget kalo abis semprot2 muka pake avene tuh. Berhubung harganya sangat mencekik ... Read more",5
Thermal Spring Water,Lindaoctaviaa,"Dry, 19 - 24",Lindaoctaviaa recommends this product!,11 Mar 2020,"Awal nya beli di guardian iseng buat muka seger di kelas apalagi semprot semprot ngantuk hilang wwkkw tp ternyata sangat berguna buat muka yg abis kepanasan perih perih gatal disemprot pake ini lngsung hilang gitu, sebelum pake skincare ku juga pake ini dan merasakan sk ... Read more",5
Thermal Spring Water,Lindaoctaviaa,"Dry, 19 - 24",Lindaoctaviaa recommends this product!,11 Mar 2020,"Awal nya beli di guardian iseng buat muka seger di kelas apalagi semprot semprot ngantuk hilang wwkkw tp ternyata sangat berguna buat muka yg abis kepanasan perih perih gatal disemprot pake ini lngsung hilang gitu, sebelum pake skincare ku juga pake ini dan merasakan sk ... Read more",5
Thermal Spring Water,mamasachie,"Combination, 30 - 34",mamasachie recommends this product!,30 Aug 2020,"Klaimnya betul terbukti buat menenangkan kulit. Amazed. Padahal kalo dipikir harganya lumayan buat sebotol ""air"" ya. Bisa buat face mist waktu udara panas, buat calming jerawat pas iritasi, bisa buat kulit gatal karena alergi juga. Yang pasti selain lucas papaw, avene t ... Read more",5
Thermal Spring Water,mamasachie,"Combination, 30 - 34",mamasachie recommends this product!,30 Aug 2020,"Klaimnya betul terbukti buat menenangkan kulit. Amazed. Padahal kalo dipikir harganya lumayan buat sebotol ""air"" ya. Bisa buat face mist waktu udara panas, buat calming jerawat pas iritasi, bisa buat kulit gatal karena alergi juga. Yang pasti selain lucas papaw, avene t ... Read more",5
Thermal Spring Water,Bidiana,"Combination, 19 - 24",Bidiana recommends this product!,23 May 2020,"Lumayan nyenyukin wajah, buat wajah lebih lembab dan segar juga, cuman sayang sih kadang susah di cari. dan harganya average lah buat dipakai 4 bulanan untuk ukuran paling gede. yg aku suka dia bsa dijadiin masker dan dingin diwajah sensasinyaa. mungkin nanti bakal beli ... Read more",4
Thermal Spring Water,Bidiana,"Combination, 19 - 24",Bidiana recommends this product!,23 May 2020,"Lumayan nyenyukin wajah, buat wajah lebih lembab dan segar juga, cuman sayang sih kadang susah di cari. dan harganya average lah buat dipakai 4 bulanan untuk ukuran paling gede. yg aku suka dia bsa dijadiin masker dan dingin diwajah sensasinyaa. mungkin nanti bakal beli ... Read more",4
Thermal Spring Water,amaliaadila,"Normal, 19 - 24",amaliaadila recommends this product!,11 Apr 2020,"Buat yang kulitnya lagi sensitif parahh dan merah harus banget coba ini buat calming-in karena seampuh itu! dan super praktis tinggal semprot terus muka langsung berasa adem dan tenang, bisa ngurangin rasa gatel juga kalau muka lagi rewel, but harganya sangat amat mengu ... Read more",5
Thermal Spring Water,amaliaadila,"Normal, 19 - 24",amaliaadila recommends this product!,11 Apr 2020,"Buat yang kulitnya lagi sensitif parahh dan merah harus banget coba ini buat calming-in karena seampuh itu! dan super praktis tinggal semprot terus muka langsung berasa adem dan tenang, bisa ngurangin rasa gatel juga kalau muka lagi rewel, but harganya sangat amat mengu ... Read more",5
Thermal Spring Water,Suci_Soenirdja,"Combination, 30 - 34",Suci_Soenirdja recommends this product!,05 Apr 2020,"Mulai suka face mist sejak beberapa tahun lalu karena efek bikin seger secara instan. Dan mulai explore berbagai macam merk face mist salah satunya Avene Thermal Spring Water ini. Fungsi utamanya yang ngaruh di aku adalah sebagai facial hydrating, melembapkan, dan efek ... Read more",5
Thermal Spring Water,Suci_Soenirdja,"Combination, 30 - 34",Suci_Soenirdja recommends this product!,05 Apr 2020,"Mulai suka face mist sejak beberapa tahun lalu karena efek bikin seger secara instan. Dan mulai explore berbagai macam merk face mist salah satunya Avene Thermal Spring Water ini. Fungsi utamanya yang ngaruh di aku adalah sebagai facial hydrating, melembapkan, dan efek ... Read more",5
Thermal Spring Water,Diniyusa,"Combination, 19 - 24",Diniyusa recommends this product!,09 Sep 2020,"Pernah cobain ini sampai habis 2 botol, tapi di aku kurang ada efek sih. Ga buat breakout dan ga buat better juga, entah mungkin karena kulitku type kulit badak atau gimana yaa.. Next mau coba merk yg lain dulu..",4
Thermal Spring Water,Diniyusa,"Combination, 19 - 24",Diniyusa recommends this product!,09 Sep 2020,"Pernah cobain ini sampai habis 2 botol, tapi di aku kurang ada efek sih. Ga buat breakout dan ga buat better juga, entah mungkin karena kulitku type kulit badak atau gimana yaa.. Next mau coba merk yg lain dulu..",4
Thermal Spring Water,azizanailuvar,"Oily, 25 - 29",azizanailuvar recommends this product!,06 May 2020,"akhirnya punya keinginan utk beli ini (karena harganya mayan lah ya hehe utk sebuah facemist). sudah lama dengar kl produk ini jg bagus utk wajah yg bermasalah, apalagi dibarengin skincare lainnya. sepengalamanku pakai ini kurang dr seminggu, terlihat efek penggunaannya ... Read more",5
Thermal Spring Water,azizanailuvar,"Oily, 25 - 29",azizanailuvar recommends this product!,06 May 2020,"akhirnya punya keinginan utk beli ini (karena harganya mayan lah ya hehe utk sebuah facemist). sudah lama dengar kl produk ini jg bagus utk wajah yg bermasalah, apalagi dibarengin skincare lainnya. sepengalamanku pakai ini kurang dr seminggu, terlihat efek penggunaannya ... Read more",5
Thermal Spring Water,christydk_,"Combination, 19 - 24",christydk_ recommends this product!,18 May 2020,Thermal water favorit! Sempet nyobain merek lain tapi selalu berakhir balik lagi ke Avene karena cuma Avene yang keliatan banget efeknya. Kalau habis panas2an dan muka mulai berasa kebakar selalu langsung semprot Avene supaya calm dan memang langsung jadi adem banget mu ... Read more,5
Thermal Spring Water,christydk_,"Combination, 19 - 24",christydk_ recommends this product!,18 May 2020,Thermal water favorit! Sempet nyobain merek lain tapi selalu berakhir balik lagi ke Avene karena cuma Avene yang keliatan banget efeknya. Kalau habis panas2an dan muka mulai berasa kebakar selalu langsung semprot Avene supaya calm dan memang langsung jadi adem banget mu ... Read more,5
White Secret Night Cream,sulfaaa,"Normal, 19 - 24",sulfaaa recommends this product!,30 May 2020,"teksturnya gak terlalu thick, cepet meresap di kulit, wanginya enak. rasanya lebih ringan dari day creamnya. gak white cast, gak bikin mintakan di paginya. ngebantu tone up muka jadi lebih cerah. so far so guwddd. pakai hampir setahun lebih karena sesuka itu tapi harus ... Read more",5
White Secret Night Cream,stphniexpoetri,"Combination, 19 - 24",stphniexpoetri recommends this product!,23 Aug 2020,"Awal nyoba dari beberapa tahun yang lalu karena di recommendasiin sama mba"" Wardah nya. Katanya tipe kulit aku cocok yang variant White Secret. Enak nya night cream ini pas dipake dia ga sticky. Dan pas bangun tidur dia kaya ngasih efek kenyel, cerahan, terus kaya glowi ... Read more",4
White Secret Night Cream,cappucino,"Combination, 19 - 24",cappucino recommends this product!,17 Jul 2020,"Karena white secret series harganya menguras kantong pelajar buat beli serangkaian jadi aku beli night cream nya aja. wanginya oke gak ganggu, gak lengket juga. efek mencerahkannya lumayan ada, walaupun bikin muka jadi lebih berminyak. aku sempet stop pake ini sebentar ... Read more",4
White Secret Night Cream,nadiarahmaer,"Normal, 19 - 24",nadiarahmaer recommends this product!,27 Apr 2020,"Aku udah pake ini lebih dari setahun, first impression dulu pas pake ini udah bagus banget. bangun-bangun wajah aku yg kering bgt ini akhirnya bisa lembab. Setelah pemakaian rutin juga efek mencerahkannya keliatan banget. Karena kulit aku lumayan cepet kusam. Aku udah b ... Read more",5
White Secret Night Cream,faradhita_swastika,"Oily, 18 and Under",faradhita_swastika recommends this product!,29 May 2020,"Pake ini sih nyoba aja karna klaimnya mencerahkan, tapi selama pake yg berasa cuma melembabkan sm menghaluskan aja, buat mencerahkan di aku engga, tapi selama pake gapernah muncul reaksi aneh aneh di muka.",4
White Secret Night Cream,Nsmr,"Combination, 18 and Under",Nsmr doesn't recommend this product!,05 Jun 2020,Gak cocok di muka aku. Waktu dipakai ngak langsung nyerep gitu dimuka jadi kayak berminyak. Dan bener dong paginya mukaku jadi berminyak bangettt trs malah tambah kusam gitu keliatannya. Udah pake bbrp kali teryatta emang g cocok di aku.,3
White Secret Night Cream,DiajengRiady,"Oily, 19 - 24",DiajengRiady doesn't recommend this product!,30 Apr 2020,"Sayangnya tidak bekerja dengan baik dikulit aku :( aromanya juga aku gk suka, buat kulitku jadi memerah dan perih. Buat kulit jadi kyk kilang minyak juga. Nyobain ini karena emang penasaran aja sih.....",3
White Secret Night Cream,aryaninurul,"Combination, 19 - 24",aryaninurul recommends this product!,26 Aug 2020,"Awalnya pakai satu rangkaian dan manjur banget, kulit langsung kelihatan cerah dan glowing tapi lama kelamaan produknya bikin resistance di muka ku, setelah pemakaian yang ke empat kalinya. repurchase? No, mau ganti skincare lainnya",5
White Secret Night Cream,Fifinnj,"Combination, 25 - 29",Fifinnj recommends this product!,03 Jul 2020,"bagus sih pertama kali pake wajah cerah gitu,g kusam trs glowing. alhamdulillah aku cocok g ada iritasi apa2, kalo sudah abis insyaallah bakal beli lg karna kusuka bgt sama produknyaa, aku pake semua rangkaian wardah white secretnya.",4
White Secret Night Cream,nurekaindah,"Oily, 19 - 24",nurekaindah recommends this product!,11 Mar 2020,Dulu aku pake ini waktu baru launching terus gonta ganti ke sana ke mari wkwk sekarang balik lagi karena harganya lebih mursidah dari moisturizer2 sebelum sebelumnya. Tapiiiiiiiiii emang sebagus itu baru semingguan pake lagi jerawat dan bekas jerawat memudar dan wajah l ... Read more,5
Mineral Water Spray,dnvtapp,"Oily, 19 - 24",dnvtapp recommends this product!,05 Sep 2020,Berikut beberapa review saya setelah kurang lebih sebulan memakai facial spray dari Evian. Kulit menjadi lebih lembab dan segar. Cocok dipakai di tengah-tengah rutinitas untuk menyegarkan wajah kembali. Ketika saya memakai produk ini di atas sunscreen atau bedak di pa ... Read more,4
Mineral Water Spray,Deldeldel,"Dry, 30 - 34",Deldeldel recommends this product!,27 Aug 2020,"Suka bangeettt, tipe kulit aku kering banget dan aku research katanya kalau kulit yang kering ga baik untuk pakai facewash pagi dan malam. Biasanya aku pakai ini di pagi hari (atau pakai micellar water) untuk cuci muka di pagi hari sebelum skincare routine, malamnya bar ... Read more",5
Mineral Water Spray,mchllnoni,"Combination, 19 - 24",mchllnoni doesn't recommend this product!,20 hours ago,"Face mist water yang pertama kali aku coba. Biasanya beli di guardian karna ada promo +1000 get 2. Tapi efeknya cuma nyegerin di muka doang, gak ada efek lain. Bahkan kadang muka berasa kering kalo beberapa saat habis pake ini. Padahal ada beberapa yang bilang ada efek ... Read more",2
Mineral Water Spray,yolandamegasari,"Dry, 19 - 24",yolandamegasari doesn't recommend this product!,14 Apr 2020,"Harganya lumayan mahal dan nggak terlalu ngefek dimuka yang kering, nggak ada aromanya kayak air putih disemprot dimuka aja rasanya, nyegerin tapi gak ada efek lain. Packagingnya lucu pink putih but yah for me its not really worth the money.",3
Mineral Water Spray,lijaaa,"Oily, 18 and Under",lijaaa recommends this product!,13 Jul 2020,"Bagus sekali dipakai sebagai face mist , bisa buat nyegarin muka, buat sebelum atau sesudah pakai makeup, atau dipake abis exfoliate, yang bikin suka pas disemprot butiran airnya kecil dan halus jadi enak pas kena diwajah nggak kayak semprotan parfum atau lainnya butira ... Read more",4
Mineral Water Spray,shenangelista,"Combination, 19 - 24",shenangelista recommends this product!,07 May 2020,"Biasanya Evian ini aku pakai sebelum atau setelah makeup. Bagus banget apalagi buat ku yg kulit nya kering, pakai ini jadi lembab bangett sukaaaa dan bikin seger muka juga kalo udah seharian diluar atau kena panas. Uda habis 3 botol kayanya. Repurchase? Yes!",5
Mineral Water Spray,dederazzan,"Combination, 35 - 39",dederazzan doesn't recommend this product!,19 Aug 2020,"Entah ya waktu gw pakai evian ini, niatnya itu supaya bikin kulit lebih lembab dan ga kering. Saat itu gw lagi perawatan pakai cream dokter sih. tus pas siang siang panas terik gitu karena water spray gw yang biasa gw pakai itu ketinggalan, jadilah gw beli nih evian, bu ... Read more",3
